            5   0.825092E-04   0.113453E-03   0.180003E-03   0.539228E-03   0.453001E-02   0.622896E-02   0.660309E-02   0.106934E-01
           10   0.658422E-04   0.905359E-04   0.162888E-03   0.557292E-03   0.170381E-02   0.234281E-02   0.382162E-02   0.121495E-01
           15   0.801474E-04   0.110206E-03   0.165736E-03   0.535016E-03   0.531845E-02   0.731310E-02   0.694571E-02   0.779625E-02
           20   0.831583E-04   0.114346E-03   0.165371E-03   0.496440E-03   0.713209E-02   0.980693E-02   0.892467E-02   0.751010E-02
           25   0.827632E-04   0.113803E-03   0.164439E-03   0.505819E-03   0.598960E-02   0.823596E-02   0.829083E-02   0.641715E-02
           30   0.886802E-04   0.121939E-03   0.164296E-03   0.493835E-03   0.388680E-02   0.534452E-02   0.601803E-02   0.742458E-02
           35   0.100987E-03   0.138861E-03   0.172218E-03   0.462023E-03   0.447522E-02   0.615363E-02   0.632234E-02   0.548002E-02
           40   0.114675E-03   0.157683E-03   0.182181E-03   0.430374E-03   0.406043E-02   0.558326E-02   0.607942E-02   0.505398E-02
           45   0.122194E-03   0.168023E-03   0.189232E-03   0.423256E-03   0.357208E-02   0.491177E-02   0.567800E-02   0.464596E-02
           50   0.129217E-03   0.177679E-03   0.204013E-03   0.401977E-03   0.348699E-02   0.479477E-02   0.548183E-02   0.465616E-02
           55   0.136215E-03   0.187301E-03   0.226126E-03   0.373837E-03   0.347921E-02   0.478407E-02   0.510446E-02   0.393217E-02
           60   0.138559E-03   0.190524E-03   0.248492E-03   0.349735E-03   0.375382E-02   0.516166E-02   0.551147E-02   0.364905E-02
           65   0.139886E-03   0.192349E-03   0.268630E-03   0.339356E-03   0.287295E-02   0.395043E-02   0.547909E-02   0.343846E-02
           70   0.141177E-03   0.194124E-03   0.286529E-03   0.322109E-03   0.261729E-02   0.359889E-02   0.554484E-02   0.389587E-02
           75   0.141312E-03   0.194310E-03   0.301610E-03   0.305934E-03   0.239715E-02   0.329618E-02   0.604146E-02   0.338305E-02
           80   0.139808E-03   0.192242E-03   0.314694E-03   0.290457E-03   0.225410E-02   0.309949E-02   0.557646E-02   0.357661E-02
           85   0.138292E-03   0.190157E-03   0.326639E-03   0.274568E-03   0.212110E-02   0.291660E-02   0.472130E-02   0.345815E-02
           90   0.137595E-03   0.189200E-03   0.338037E-03   0.255129E-03   0.198236E-02   0.272582E-02   0.525592E-02   0.270159E-02
           95   0.135218E-03   0.185930E-03   0.348850E-03   0.239065E-03   0.184623E-02   0.253864E-02   0.559270E-02   0.215786E-02
          100   0.129980E-03   0.178729E-03   0.357270E-03   0.231882E-03   0.171709E-02   0.236107E-02   0.569974E-02   0.256994E-02
          105   0.126331E-03   0.173711E-03   0.363523E-03   0.224290E-03   0.160370E-02   0.220515E-02   0.561729E-02   0.320752E-02
          110   0.122522E-03   0.168474E-03   0.367714E-03   0.215025E-03   0.150643E-02   0.207140E-02   0.542888E-02   0.319188E-02
          115   0.119058E-03   0.163710E-03   0.368210E-03   0.207263E-03   0.141503E-02   0.194574E-02   0.522190E-02   0.308537E-02
          120   0.116129E-03   0.159683E-03   0.369720E-03   0.201729E-03   0.133198E-02   0.183153E-02   0.505433E-02   0.316292E-02
          125   0.113221E-03   0.155684E-03   0.368509E-03   0.195439E-03   0.125824E-02   0.173014E-02   0.493850E-02   0.278855E-02
          130   0.111446E-03   0.153243E-03   0.366294E-03   0.190565E-03   0.139111E-02   0.191283E-02   0.484562E-02   0.224814E-02
          135   0.109331E-03   0.150335E-03   0.364050E-03   0.187755E-03   0.147140E-02   0.202324E-02   0.472754E-02   0.236767E-02
          140   0.107130E-03   0.147309E-03   0.359929E-03   0.188851E-03   0.130806E-02   0.179864E-02   0.454444E-02   0.276925E-02
          145   0.105377E-03   0.144898E-03   0.354503E-03   0.189275E-03   0.108462E-02   0.149141E-02   0.428611E-02   0.285513E-02
          150   0.104469E-03   0.143649E-03   0.348470E-03   0.190116E-03   0.105091E-02   0.144505E-02   0.397686E-02   0.260193E-02
          155   0.103426E-03   0.142215E-03   0.341639E-03   0.191260E-03   0.101892E-02   0.140106E-02   0.391936E-02   0.281091E-02
          160   0.102594E-03   0.141071E-03   0.333188E-03   0.192672E-03   0.112064E-02   0.154093E-02   0.402507E-02   0.274614E-02
          165   0.102070E-03   0.140350E-03   0.325246E-03   0.195031E-03   0.131588E-02   0.180939E-02   0.406423E-02   0.248814E-02
