          210   0.245457E-03   0.322410E-03   0.590163E-03   0.102536E-02   0.170870E-02   0.224438E-02   0.220697E-02   0.298807E-02
          215   0.252347E-03   0.331458E-03   0.605230E-03   0.102778E-02   0.150703E-02   0.197950E-02   0.226710E-02   0.264911E-02
          220   0.243656E-03   0.320044E-03   0.615470E-03   0.101752E-02   0.172699E-02   0.226841E-02   0.253266E-02   0.239244E-02
          225   0.266187E-03   0.349639E-03   0.627476E-03   0.993866E-03   0.237714E-02   0.312239E-02   0.329626E-02   0.220384E-02
          230   0.301726E-03   0.396319E-03   0.639797E-03   0.965805E-03   0.272525E-02   0.357963E-02   0.369412E-02   0.269875E-02
          235   0.309466E-03   0.406486E-03   0.642211E-03   0.949149E-03   0.268062E-02   0.352101E-02   0.353428E-02   0.302661E-02
          240   0.335296E-03   0.440413E-03   0.659493E-03   0.948419E-03   0.227832E-02   0.299259E-02   0.290779E-02   0.289213E-02
          245   0.383958E-03   0.504331E-03   0.688314E-03   0.930495E-03   0.187219E-02   0.245913E-02   0.286533E-02   0.250288E-02
          250   0.421621E-03   0.553802E-03   0.714922E-03   0.888897E-03   0.200136E-02   0.262880E-02   0.298943E-02   0.249506E-02
          255   0.449378E-03   0.590261E-03   0.733364E-03   0.842606E-03   0.195870E-02   0.257277E-02   0.288880E-02   0.237335E-02
          260   0.472747E-03   0.620956E-03   0.755267E-03   0.818110E-03   0.206834E-02   0.271677E-02   0.290439E-02   0.224784E-02
          265   0.514237E-03   0.675453E-03   0.785227E-03   0.807828E-03   0.187347E-02   0.246082E-02   0.261740E-02   0.220749E-02
          270   0.548794E-03   0.720844E-03   0.811475E-03   0.784459E-03   0.179042E-02   0.235173E-02   0.264176E-02   0.219263E-02
          275   0.571819E-03   0.751087E-03   0.829122E-03   0.747649E-03   0.191584E-02   0.251647E-02   0.278716E-02   0.212885E-02
          280   0.596935E-03   0.784078E-03   0.844723E-03   0.718740E-03   0.185663E-02   0.243869E-02   0.270562E-02   0.206543E-02
          285   0.631033E-03   0.828865E-03   0.863548E-03   0.696723E-03   0.185839E-02   0.244101E-02   0.252419E-02   0.202430E-02
          290   0.659409E-03   0.866137E-03   0.882295E-03   0.680307E-03   0.178753E-02   0.234793E-02   0.258238E-02   0.204246E-02
          295   0.683312E-03   0.897533E-03   0.901026E-03   0.660582E-03   0.191392E-02   0.251394E-02   0.275895E-02   0.210197E-02
          300   0.714110E-03   0.937988E-03   0.923888E-03   0.628576E-03   0.186893E-02   0.245485E-02   0.271090E-02   0.206682E-02
          305   0.745657E-03   0.979425E-03   0.948612E-03   0.584248E-03   0.180274E-02   0.236791E-02   0.259871E-02   0.191171E-02
          310   0.767314E-03   0.100787E-02   0.968271E-03   0.546032E-03   0.194021E-02   0.254848E-02   0.283188E-02   0.191469E-02
          315   0.776063E-03   0.101936E-02   0.976952E-03   0.527769E-03   0.200942E-02   0.263938E-02   0.293020E-02   0.188927E-02
          320   0.773222E-03   0.101563E-02   0.974051E-03   0.532267E-03   0.190858E-02   0.250693E-02   0.279626E-02   0.187231E-02
          325   0.754012E-03   0.990400E-03   0.957838E-03   0.555585E-03   0.176179E-02   0.231412E-02   0.257441E-02   0.190230E-02
          330   0.716576E-03   0.941227E-03   0.924692E-03   0.586223E-03   0.166784E-02   0.219072E-02   0.243969E-02   0.199537E-02
          335   0.662450E-03   0.870131E-03   0.879672E-03   0.612287E-03   0.161183E-02   0.211714E-02   0.235665E-02   0.256641E-02
          340   0.596470E-03   0.783466E-03   0.830665E-03   0.625280E-03   0.171335E-02   0.225049E-02   0.251504E-02   0.301921E-02
          345   0.530246E-03   0.696481E-03   0.797564E-03   0.630227E-03   0.171938E-02   0.225841E-02   0.250149E-02   0.317205E-02
          350   0.537058E-03   0.705427E-03   0.800859E-03   0.647752E-03   0.161952E-02   0.212725E-02   0.225737E-02   0.302375E-02
          355   0.555510E-03   0.729665E-03   0.806021E-03   0.669723E-03   0.156791E-02   0.205946E-02   0.225318E-02   0.263214E-02
          360   0.538683E-03   0.707563E-03   0.789024E-03   0.690785E-03   0.166980E-02   0.219329E-02   0.237984E-02   0.230633E-02
          365   0.487211E-03   0.639954E-03   0.748151E-03   0.708958E-03   0.161880E-02   0.212630E-02   0.230693E-02   0.263536E-02
          370   0.412412E-03   0.541705E-03   0.700332E-03   0.727346E-03   0.149123E-02   0.195874E-02   0.218131E-02   0.282143E-02
          375   0.379845E-03   0.498928E-03   0.681547E-03   0.748135E-03   0.161655E-02   0.212335E-02   0.214518E-02   0.271460E-02
          380   0.376476E-03   0.494502E-03   0.672843E-03   0.769182E-03   0.165407E-02   0.217263E-02   0.220223E-02   0.266714E-02
          385   0.359661E-03   0.472417E-03   0.654556E-03   0.792809E-03   0.153035E-02   0.201012E-02   0.208487E-02   0.254660E-02
          390   0.325061E-03   0.426970E-03   0.624626E-03   0.816872E-03   0.123527E-02   0.162253E-02   0.209542E-02   0.271397E-02
          395   0.279785E-03   0.367499E-03   0.589269E-03   0.839087E-03   0.110061E-02   0.144566E-02   0.209487E-02   0.271143E-02
          400   0.247991E-03   0.325737E-03   0.559827E-03   0.858296E-03   0.107576E-02   0.141302E-02   0.207261E-02   0.248865E-02
          405   0.247302E-03   0.324832E-03   0.550889E-03   0.868077E-03   0.139254E-02   0.182911E-02   0.205100E-02   0.249241E-02
          410   0.268030E-03   0.352058E-03   0.562799E-03   0.866583E-03   0.178774E-02   0.234820E-02   0.203781E-02   0.246392E-02
          415   0.285797E-03   0.375395E-03   0.575887E-03   0.858841E-03   0.211723E-02   0.278099E-02   0.228677E-02   0.228959E-02
          420   0.288963E-03   0.379554E-03   0.584738E-03   0.844908E-03   0.239954E-02   0.315181E-02   0.258321E-02   0.220061E-02
          425   0.277622E-03   0.364658E-03   0.589242E-03   0.823951E-03   0.263353E-02   0.345916E-02   0.282844E-02   0.228099E-02
          430   0.278204E-03   0.365422E-03   0.597543E-03   0.794368E-03   0.278564E-02   0.365896E-02   0.303025E-02   0.217566E-02
          435   0.301963E-03   0.396630E-03   0.623042E-03   0.771392E-03   0.280560E-02   0.368518E-02   0.315035E-02   0.200860E-02
          440   0.339173E-03   0.445505E-03   0.654225E-03   0.757648E-03   0.266038E-02   0.349442E-02   0.312741E-02   0.196673E-02
          445   0.365764E-03   0.480433E-03   0.682229E-03   0.738374E-03   0.236310E-02   0.310395E-02   0.292180E-02   0.225511E-02
